"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","WiMAX: Integration Measurement.Number of Successful Controlled Handover","WiMAX: Integration Measurement.Number of Successful Uncontrolled Handover","WiMAX: Integration Measurement.Number of Successful Initial Network Entry DHCP","WiMAX: Integration Measurement.Number of Abnormal Releases by BS"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2090]DH17004","1","0","1","3","0","9","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2090]DH17004","2","0","2","24","1","26","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2091]DH17008","0","0","0","62","8","89","9"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2091]DH17008","1","0","1","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2091]DH17008","2","0","2","44","0","37","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2093]DH17012","0","0","0","391","50","160","10"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2093]DH17012","1","0","1","148","37","68","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2093]DH17012","2","0","2","250","78","163","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2094]DH17013","0","0","0","17","7","51","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2094]DH17013","1","0","1","51","21","35","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2094]DH17013","2","0","2","17","1","17","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2095]DH17014","0","0","0","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2095]DH17014","1","0","1","9","0","10","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2095]DH17014","2","0","2","32","4","22","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2097]DH17016","0","0","0","25","10","38","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2097]DH17016","1","0","1","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2097]DH17016","2","0","2","9","6","18","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2098]DH17017","1","0","1","58","0","96","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2098]DH17017","2","0","2","64","3","36","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2099]DH17018","0","0","0","23","5","90","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2099]DH17018","1","0","1","3","0","25","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2099]DH17018","2","0","2","24","0","31","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2102]DH17024","0","0","0","117","6","149","4"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2102]DH17024","1","0","1","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2102]DH17024","2","0","2","114","2","130","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2103]DH17025","0","0","0","299","10","37","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2103]DH17025","1","0","1","126","13","251","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2103]DH17025","2","0","2","202","30","47","12"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2104]DH17026","0","0","0","22","1","38","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2104]DH17026","1","0","1","18","1","39","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2104]DH17026","2","0","2","20","7","34","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2105]DH17028","0","0","0","10","2","12","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2105]DH17028","1","0","1","6","3","19","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2105]DH17028","2","0","2","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2106]DH17031","0","0","0","44","3","32","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2106]DH17031","1","0","1","20","4","36","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2106]DH17031","2","0","2","10","1","28","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2107]DH17034","0","0","0","129","30","43","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2107]DH17034","1","0","1","68","14","28","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2107]DH17034","2","0","2","96","5","50","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2108]DH17035","0","0","0","24","11","78","6"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2108]DH17035","1","0","1","44","10","88","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2108]DH17035","2","0","2","68","8","32","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2109]DH17063","0","0","0","74","5","51","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2109]DH17063","1","0","1","23","3","36","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2109]DH17063","2","0","2","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2110]DH17219","0","0","0","38","9","59","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2110]DH17219","1","0","1","7","1","10","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2110]DH17219","2","0","2","108","16","42","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2111]DH17040","0","0","0","18","2","16","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2111]DH17040","1","0","1","60","71","244","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2111]DH17040","2","0","2","18","11","90","5"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2112]DH17216","0","0","0","38","37","32","9"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2112]DH17216","1","0","1","447","20","82","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2112]DH17216","2","0","2","442","31","48","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2113]DH17039","0","0","0","25","8","36","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2113]DH17039","1","0","1","0","0","0","0"
